S. No.,State Name,District Name,University Name ,College Name
140,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","M.A.M College of Pharmacy, Narsaraopet "
141,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Matrusri Oriental College
142,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",M.G College of Education
143,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Mittapalli Lakshmaiah & Sons Degree College, Piduguralla "
144,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",M.L. College of MBA
145,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",M.L. College of Pharmacy
146,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","M.M.R Degree College, Macherla "
147,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Modern Degree College
148,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Morning Star College
149,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Mother Theresa Womens Degree College, Karampudi "
150,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","M.S.R. Degree College, Bapatla "
151,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",M.V.G.R. Degree College
152,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","M.V.R Degree College, Karlapalem "
153,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",M.V.R.S. Viveka Degree College
154,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Nagarjuna College of Education
155,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur","Nagarjuna Institute of Management Studies, Chekurapadu "
156,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Nalanda College of Education
157,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",National Minority Degree College
158,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Navya Chaitanya College of Education
159,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",N.B.T & N V C College
160,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",New Era College of Education
161,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Nirmala College of Pharmacy, Mangalagiri "
162,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",N.N.R. & C.L. Degree College
163,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",N.N.S. Vidya College of P.G. Studies
164,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",N.N.S Vidya Degree College
165,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",N.R.K & K.S.R Gupta College of Pharmacy
166,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",N.R.K. & K.S.R. Gupta Degree College
167,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",N.T.R Memorial Degree College
168,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Omega College of Education
169,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Palnadu College of Education, Narayanapuram "
170,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",P.B.N. College
171,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Pedanandipadu College of Arts and Sciences
172,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",P.N.C.A Degree College
173,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",P.N.C & K.R. College
174,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Prabhala Lakshminarayana Memorial Degree College
175,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Prabhala PG College for Women, Nagarjuna Nagar "
176,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Pratap College of Education
177,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Prathiba Degree College
178,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Pratibha Degree College, Pedanandipadu "
179,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Priya Darisini Degree College
180,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Priyadarsini Institute of Pharmaceutical Science
